old_path	new_path	classification	bytes	sha256
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\05-Claude-3-Sonnet\pdfs\Claude-3-Model-Card.pdf	content\llm-guide\_sources\model-reports\claude\legacy-14\05-Claude-3-Sonnet\pdfs\Claude-3-Model-Card.pdf	official-pdf	28241567	a96214e5d495dec76f6120891233aa97a73386b35b065a6709840b07588ed118
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\05-Claude-3-Sonnet\pdfs\Claude-3-Sonnet.html	content\llm-guide\_sources\model-reports\claude\legacy-14\05-Claude-3-Sonnet\pdfs\Claude-3-Sonnet.html	official-html-snapshot	166723	184a82108c4a695078d46182fa5b6f7f8ad2c4e6f2a7f6a13fbc0d43d05dc216
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\06-Claude-3-Opus\01-06-Claude-3-Opus-架构精译.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\06-Claude-3-Opus\01-06-Claude-3-Opus-架构精译.md	legacy-markdown	4133	2aba22ec1ec4f02c613b96bafd15e54be1cde5327b09b40520fbae38450fa3fa
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\06-Claude-3-Opus\05-06-Claude-3-Opus-核心技术专题.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\06-Claude-3-Opus\05-06-Claude-3-Opus-核心技术专题.md	legacy-markdown	1046	338af1d0d76d7653c93751838358947abb4dbe9ad7fc011903acfb818d20d803
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\06-Claude-3-Opus\05-06-Claude-3-Opus-长上下文推理与多模态理解的双重突破.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\06-Claude-3-Opus\05-06-Claude-3-Opus-长上下文推理与多模态理解的双重突破.md	legacy-markdown	11150	c916eb9ba11e56675da9c154621bfc41524fd7322c8e74dfb7132df391d23ae1
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\06-Claude-3-Opus\pdfs\Claude-3-Opus-Model-Card.pdf	content\llm-guide\_archive\model-knowledge\claude\legacy-14\06-Claude-3-Opus\pdfs\Claude-3-Opus-Model-Card.pdf	damaged-duplicate-pdf	11626112	7e1d2954041ac4509035f86d8479c5849649d3364419e4305773f99465743386
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\06-Claude-3-Opus\pdfs\Claude-3-Opus.html	content\llm-guide\_archive\model-knowledge\claude\legacy-14\06-Claude-3-Opus\pdfs\Claude-3-Opus.html	invalid-or-stale-html	59583	0ab382d645e719d456aefae541473c2bee5b00b0eeadc1b8a77c5141802cfbeb
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\07-Claude-3.5-Sonnet\01-07-Claude-3.5-Sonnet-架构精译.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\07-Claude-3.5-Sonnet\01-07-Claude-3.5-Sonnet-架构精译.md	legacy-markdown	6846	9fce6a59fe25878a1df43274591fce54a71f4534c13e4478bf662a3a20ecfcd1
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\07-Claude-3.5-Sonnet\05-07-Claude-3.5-Sonnet-编码能力突破与Agent化交互设计.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\07-Claude-3.5-Sonnet\05-07-Claude-3.5-Sonnet-编码能力突破与Agent化交互设计.md	legacy-markdown	13864	9bdb36cc1ff4bff1127683c3a820c29730994a8fffd45866490f035a934b8b63
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\07-Claude-3.5-Sonnet\05-07-Claude-3.5-Sonnet-核心技术专题.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\07-Claude-3.5-Sonnet\05-07-Claude-3.5-Sonnet-核心技术专题.md	legacy-markdown	1193	decb11a3c902f1c6ac4835e5759f1756dbb01594ebe9051d5318be82e608aca3
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\07-Claude-3.5-Sonnet\pdfs\Claude-3.5-Sonnet-Model-Card.pdf	content\llm-guide\_archive\model-knowledge\claude\legacy-14\07-Claude-3.5-Sonnet\pdfs\Claude-3.5-Sonnet-Model-Card.pdf	damaged-duplicate-pdf	18442048	00c228fda43aefb0713354abc9daa954e735f56bb9c4349f36d5f557b441901d
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\07-Claude-3.5-Sonnet\pdfs\Claude-3.5-Sonnet.html	content\llm-guide\_sources\model-reports\claude\legacy-14\07-Claude-3.5-Sonnet\pdfs\Claude-3.5-Sonnet.html	official-html-snapshot	130976	4d4e806b59058de126decac23d8d355c4bbde377878258ac9319f101075772bf
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\08-Claude-3.5-Haiku\01-08-Claude-3.5-Haiku-架构精译.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\08-Claude-3.5-Haiku\01-08-Claude-3.5-Haiku-架构精译.md	legacy-markdown	4530	9759c45e6071275b524ab510c98e0e1cc27ca15cb39937a44c513e11556e6b5d
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\08-Claude-3.5-Haiku\05-08-Claude-3.5-Haiku-核心技术专题.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\08-Claude-3.5-Haiku\05-08-Claude-3.5-Haiku-核心技术专题.md	legacy-markdown	912	6741b95a2ae718cbc9777257056b36262f46911dc500d43a2e0ed8cc23b3b125
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\08-Claude-3.5-Haiku\pdfs\Claude-3.5-Haiku.html	content\llm-guide\_archive\model-knowledge\claude\legacy-14\08-Claude-3.5-Haiku\pdfs\Claude-3.5-Haiku.html	invalid-or-stale-html	59489	9be0d751c53c2bc647c8106364dec28a275d60cb9b7ee3a39bda0751ae9f6554
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\09-Claude-Computer-Use\01-09-Claude-Computer-Use-架构精译.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\09-Claude-Computer-Use\01-09-Claude-Computer-Use-架构精译.md	legacy-markdown	3272	a6dfc817a3563230488caf989c0f71821b9e2155e94c1fce2c702a51414bc92b
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\09-Claude-Computer-Use\05-09-Claude-Computer-Use-核心技术专题.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\09-Claude-Computer-Use\05-09-Claude-Computer-Use-核心技术专题.md	legacy-markdown	1000	995cbe45510d4d03d5f236966a99065b8be610d06af594e7e8931c40f215dea7
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\09-Claude-Computer-Use\05-09-Claude-Computer-Use-视觉感知驱动的GUI自动化Agent.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\09-Claude-Computer-Use\05-09-Claude-Computer-Use-视觉感知驱动的GUI自动化Agent.md	legacy-markdown	11298	045a11ef48f75f8a23af5a9f29a5217643cbd51f595b42391b9dae10e63dfacb
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\09-Claude-Computer-Use\pdfs\Claude-Computer-Use.html	content\llm-guide\_archive\model-knowledge\claude\legacy-14\09-Claude-Computer-Use\pdfs\Claude-Computer-Use.html	invalid-or-stale-html	59579	3674e39e8d5fc0c718846c5227a434ecc5c8f6992d7b5a707ad6596c84f15eb7
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\09-Claude-Computer-Use\pdfs\Developing-Computer-Use.html	content\llm-guide\_sources\model-reports\claude\legacy-14\09-Claude-Computer-Use\pdfs\Developing-Computer-Use.html	official-html-snapshot	131611	12cdaf823f08ca2374e572ef84299ca88e94f6500a9200a04c47f238391adf7f
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\10-Claude-3.7-Sonnet\01-10-Claude-3.7-Sonnet-架构精译.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\10-Claude-3.7-Sonnet\01-10-Claude-3.7-Sonnet-架构精译.md	legacy-markdown	3511	d8ad4ab2984a1540580cea80ba3d93d9e13f17931502e46d41182df9ff6e783c
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\10-Claude-3.7-Sonnet\05-10-Claude-3.7-Sonnet-核心技术专题.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\10-Claude-3.7-Sonnet\05-10-Claude-3.7-Sonnet-核心技术专题.md	legacy-markdown	1079	ce494735176ceff5d4419ffc68096a041dc95c9bf0707ef6efc2fb862a4f2b2c
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\10-Claude-3.7-Sonnet\05-10-Claude-3.7-Sonnet-混合推理架构与可控思考预算.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\10-Claude-3.7-Sonnet\05-10-Claude-3.7-Sonnet-混合推理架构与可控思考预算.md	legacy-markdown	10193	bbf2a1d1f121d03f7a875bcb8ee814b70278145faf37ee3ce291d34d00b2a10a
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\10-Claude-3.7-Sonnet\pdfs\Claude-3.7-Sonnet.html	content\llm-guide\_sources\model-reports\claude\legacy-14\10-Claude-3.7-Sonnet\pdfs\Claude-3.7-Sonnet.html	official-html-snapshot	158988	734a4e81a0cfbcd8adf6b5ae87cbb598705ead91fdcef58834bbe9df923f8b2d
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\11-Claude-4\01-11-Claude-4-架构精译.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\11-Claude-4\01-11-Claude-4-架构精译.md	legacy-markdown	3471	81e2966ac6bad6181b8b305b8afbba0f98818663e8ba00b4facb9093f172dbdd
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\11-Claude-4\05-11-Claude-4-核心技术专题.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\11-Claude-4\05-11-Claude-4-核心技术专题.md	legacy-markdown	1133	fef80e3089a21af50ebd3f87619fb77e230fd398b0401dceff1c0b6972682038
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\11-Claude-4\05-11-Claude-4-长程Agent能力与记忆机制的工程突破.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\11-Claude-4\05-11-Claude-4-长程Agent能力与记忆机制的工程突破.md	legacy-markdown	9688	874928796ab162169bb284a05e2106f5a6124f073b0cf23c4b26f5a29556bab9
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\11-Claude-4\pdfs\Claude-4.html	content\llm-guide\_archive\model-knowledge\claude\legacy-14\11-Claude-4\pdfs\Claude-4.html	invalid-or-stale-html	59375	a616f7fa921e792c4b9dc491ca04d5ec3538284d94f01000f24470d23d6376aa
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\12-Claude-4.5-Sonnet\05-12-Claude-4.5-Sonnet-核心技术专题.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\12-Claude-4.5-Sonnet\05-12-Claude-4.5-Sonnet-核心技术专题.md	legacy-markdown	10309	9c71d7406a37204b8fce533f2ba6d2f3583b090f019cb720ead7fde1d6eeeb82
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\12-Claude-4.5-Sonnet\pdfs\Claude-4.5-Sonnet.html	content\llm-guide\_archive\model-knowledge\claude\legacy-14\12-Claude-4.5-Sonnet\pdfs\Claude-4.5-Sonnet.html	placeholder-html	1054	53b337d0a377a324dc4eee58aa37e4a353057a3d4becfe69f8a938db7e8455b1
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\13-Claude-4.5-Opus\pdfs\Claude-4.5-Opus.html	content\llm-guide\_archive\model-knowledge\claude\legacy-14\13-Claude-4.5-Opus\pdfs\Claude-4.5-Opus.html	placeholder-html	995	6bcd853edc499e2512d27c0f84f43898004552479c1258f0d60cae8e73006574
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\14-Claude-Opus-4.6\pdfs\Claude-Opus-4.6.html	content\llm-guide\_archive\model-knowledge\claude\legacy-14\14-Claude-Opus-4.6\pdfs\Claude-Opus-4.6.html	placeholder-html	995	16a2f4a2664670cafcf8879fee54627e9c135264a05ff75edd3cb31f29f2f2ff
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\14.13-Claude.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\14.13-Claude.md	legacy-markdown	3773	a9615e06a66678dde1303f1597869bd1f58a30e3072a007c649b76f2fc684ca7
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\15-Claude-Sonnet-4.6\pdfs\Claude-Sonnet-4.6.html	content\llm-guide\_archive\model-knowledge\claude\legacy-14\15-Claude-Sonnet-4.6\pdfs\Claude-Sonnet-4.6.html	placeholder-html	1001	f5f6b38ee487ae174eab73fa5040d451ada8be5675df1148e12ca8606e390f3d
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\16-Claude-Haiku-4.5\pdfs\Claude-Haiku-4.5.html	content\llm-guide\_archive\model-knowledge\claude\legacy-14\16-Claude-Haiku-4.5\pdfs\Claude-Haiku-4.5.html	placeholder-html	998	f65f25d8a0c121df26aceee2dbf703295bc1183480f2a8cd048d4a6742c5b906
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\17-Claude-Opus-4.7\05-Claude-Opus-4.7-混合稀疏注意力与长上下文Agent编码架构.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\17-Claude-Opus-4.7\05-Claude-Opus-4.7-混合稀疏注意力与长上下文Agent编码架构.md	legacy-markdown	16812	00baf8d8ab76284b52764db0cdcdafd3ebea51e4ef3ed9dca6d04e225c31475a
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\17-Claude-Opus-4.7\pdfs\Claude-Opus-4.7.html	content\llm-guide\_archive\model-knowledge\claude\legacy-14\17-Claude-Opus-4.7\pdfs\Claude-Opus-4.7.html	placeholder-html	995	c8d17c05dc8d43689450406211df6785bf7a31851b11797002d1677158131940
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\18-Claude-Mythos\01-Claude-Mythos-公开材料精读.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\18-Claude-Mythos\01-Claude-Mythos-公开材料精读.md	legacy-markdown	605	002d46867e1e8bd4f3314b34a66ba56f8568550595c44c4faffea1cc6f990015
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\18-Claude-Mythos\pdfs\Claude-Mythos.html	content\llm-guide\_archive\model-knowledge\claude\legacy-14\18-Claude-Mythos\pdfs\Claude-Mythos.html	placeholder-html	1005	4e2cab115df1dd225bd28abc5384be92b4da8479d76638cd6bfa42c491c80f62
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\19-Claude-Fable-5\01-Claude-Fable-5-公开材料精读.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\19-Claude-Fable-5\01-Claude-Fable-5-公开材料精读.md	legacy-markdown	3009	30bdd0952b751287e180529a68e01039e0943f1767e82955de709437564ff9a1
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\19-Claude-Fable-5\images\fig-claude-gen5-fable-opus-mythos.png	content\llm-guide\_archive\model-knowledge\claude\legacy-14\19-Claude-Fable-5\images\fig-claude-gen5-fable-opus-mythos.png	legacy-generated-image	1266809	3e31197a20ce82a58192f79a6d0451de0d8c178ce09cc511e9b493040e0720ca
content\llm-guide\14-主流开源模型全景解析与技术报告精读\14.13-Claude\20-Claude-Opus-5\01-Claude-Opus-5-公开材料精读.md	content\llm-guide\_archive\model-knowledge\claude\legacy-14\20-Claude-Opus-5\01-Claude-Opus-5-公开材料精读.md	legacy-markdown	3395	5813d9470f317acbd50ec1acd564c0559bc69e68dc3d91c962e89830cb3a424e
content\llm-guide\5-主流模型全解\01-Claude-1\05-01-Claude-1-核心技术专题.md	content\llm-guide\_archive\model-knowledge\claude\legacy-5\01-Claude-1\05-01-Claude-1-核心技术专题.md	legacy-markdown	12263	a31dae880d360d909cf2ae992a100e1b848ee0a0eb95410d38754faebce82213
content\llm-guide\5-主流模型全解\02-Claude-2\05-02-Claude-2-超长上下文与Constitutional AI的工程实践.md	content\llm-guide\_archive\model-knowledge\claude\legacy-5\02-Claude-2\05-02-Claude-2-超长上下文与Constitutional AI的工程实践.md	legacy-markdown	8330	b39da33c63f122a71314587a52d8e6ad329b48ed1fda62a799434cee55d2e564
content\llm-guide\5-主流模型全解\03-Claude-2.1\05-03-Claude-2.1-核心技术专题.md	content\llm-guide\_archive\model-knowledge\claude\legacy-5\03-Claude-2.1\05-03-Claude-2.1-核心技术专题.md	legacy-markdown	15508	357799526ed6943729612648c4398a5b4235752ab0bf37d8cc03c15ae74bf0fa
content\llm-guide\5-主流模型全解\05-Claude-3-Sonnet\05-05-Claude-3-Sonnet-核心技术专题.md	content\llm-guide\_archive\model-knowledge\claude\legacy-5\05-Claude-3-Sonnet\05-05-Claude-3-Sonnet-核心技术专题.md	legacy-markdown	15244	a672080088b68c032785141506dd3fef57b711973d3ed3cd0e9f38c3194e8805
content\llm-guide\5-主流模型全解\06-Claude-3-Opus\05-06-Claude-3-Opus-长上下文推理与多模态理解的双重突破.md	content\llm-guide\_archive\model-knowledge\claude\legacy-5\06-Claude-3-Opus\05-06-Claude-3-Opus-长上下文推理与多模态理解的双重突破.md	legacy-markdown	11144	df8914fb4c606026901875837240fe9e49bebcdb7300173df1cf49d052c253f4
content\llm-guide\5-主流模型全解\07-Claude-3.5-Sonnet\05-07-Claude-3.5-Sonnet-编码能力突破与Agent化交互设计.md	content\llm-guide\_archive\model-knowledge\claude\legacy-5\07-Claude-3.5-Sonnet\05-07-Claude-3.5-Sonnet-编码能力突破与Agent化交互设计.md	legacy-markdown	13437	41dfb853ee30f1906fd0566ff2bcdb72437d05ea048a678ae06bf8e54f4d54f5
content\llm-guide\5-主流模型全解\09-Claude-Computer-Use\05-09-Claude-Computer-Use-视觉感知驱动的GUI自动化Agent.md	content\llm-guide\_archive\model-knowledge\claude\legacy-5\09-Claude-Computer-Use\05-09-Claude-Computer-Use-视觉感知驱动的GUI自动化Agent.md	legacy-markdown	11293	88c495cfc546027a0dc46351a428232c2023917621c48cb5dfd4ca1f9f466091
content\llm-guide\5-主流模型全解\10-Claude-3.7-Sonnet\05-10-Claude-3.7-Sonnet-混合推理架构与可控思考预算.md	content\llm-guide\_archive\model-knowledge\claude\legacy-5\10-Claude-3.7-Sonnet\05-10-Claude-3.7-Sonnet-混合推理架构与可控思考预算.md	legacy-markdown	9840	df9125492410f66272d108b9ce0cfdad1c2f66ea86140ea84ffc1761824c4ebd
content\llm-guide\5-主流模型全解\11-Claude-4\05-11-Claude-4-长程Agent能力与记忆机制的工程突破.md	content\llm-guide\_archive\model-knowledge\claude\legacy-5\11-Claude-4\05-11-Claude-4-长程Agent能力与记忆机制的工程突破.md	legacy-markdown	8823	8b3d81d87bfa546d1198888c90bd50532eb1f5b2eb49f2a477d1791bb953562e
content\llm-guide\5-主流模型全解\12-Claude-4.5-Sonnet\05-12-Claude-4.5-Sonnet-核心技术专题.md	content\llm-guide\_archive\model-knowledge\claude\legacy-5\12-Claude-4.5-Sonnet\05-12-Claude-4.5-Sonnet-核心技术专题.md	legacy-markdown	10300	3bb173c5943ecb437847d501dad905afc23a44808ceb3573383c1942de0f7d28
content\llm-guide\5-主流模型全解\5.3-国外大模型\Anthropic-Claude\01-AnthropicClaude.md	content\llm-guide\_archive\model-knowledge\claude\legacy-5\5.3-国外大模型\Anthropic-Claude\01-AnthropicClaude.md	legacy-markdown	9228	532b3b241953a1d8516edd81e11a5ee8243f15f15ef798e479117dd2fa840508
content\llm-guide\5-主流模型全解\5.3-国外大模型\Anthropic-Claude\05-Claude-Opus-4.7-混合稀疏注意力与长上下文Agent编码架构.md	content\llm-guide\_archive\model-knowledge\claude\legacy-5\5.3-国外大模型\Anthropic-Claude\05-Claude-Opus-4.7-混合稀疏注意力与长上下文Agent编码架构.md	legacy-markdown	16845	f331f1e150b2469bafa2dbcc0fc7a2d6ccafd832965098779411a2c0038e91e2
content\llm-guide\5-主流模型全解\5.3-国外大模型\Anthropic-Claude\Anthropic-Claude.md	content\llm-guide\_archive\model-knowledge\claude\legacy-5\5.3-国外大模型\Anthropic-Claude\Anthropic-Claude.md	legacy-markdown	9226	f5a752d6c02eac35b6eaa39bba53842cd12fd067dd5848270e9164056a0ebbcc
